2025-10-13 02:21:55 | iot_test_files/test_scenario_attack/test.encrypted | Confidence: 96.0% | Reason: Rule-based alerts: High entropy detected: 7.81 (threshold: 7.5)
2025-10-13 02:21:55 | iot_test_files/test_scenario_attack/test.encrypted | Confidence: 96.0% | Reason: Rule-based alerts: High entropy detected: 7.81 (threshold: 7.5)
2025-10-13 02:21:55,759 - ALERT - Exception sending alert to dashboard: HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /api/add_alert (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe0d632d400>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-10-13 02:21:55,759 - ALERT - Exception sending alert to dashboard: HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /api/add_alert (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe0d632d400>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-10-17 23:35:55 | iot_test_files/normal/device_004.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.46)
2025-10-17 23:35:55 | iot_test_files/normal/device_004.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.46)
2025-10-17 23:35:55 | iot_test_files/normal/device_004.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.46)
2025-10-17 23:35:55 | iot_test_files/normal/device_004.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.46)
2025-10-17 23:35:55 | iot_test_files/normal/device_004.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.46)
2025-10-17 23:35:55 | iot_test_files/normal/device_004.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.46)
2025-10-17 23:35:55 | iot_test_files/normal/device_006.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.52)
2025-10-17 23:35:55 | iot_test_files/normal/device_006.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.52)
2025-10-17 23:35:55 | iot_test_files/normal/device_006.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.52)
2025-10-17 23:35:55 | iot_test_files/normal/device_006.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.52)
2025-10-17 23:35:55 | iot_test_files/normal/device_007.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.52)
2025-10-17 23:35:55 | iot_test_files/normal/device_007.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.52)
2025-10-17 23:35:55 | iot_test_files/normal/device_004.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.46)
2025-10-17 23:35:55 | iot_test_files/normal/device_004.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.46)
2025-10-17 23:35:55 | iot_test_files/normal/device_008.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.54)
2025-10-17 23:35:55 | iot_test_files/normal/device_008.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.54)
2025-10-17 23:35:55 | iot_test_files/normal/device_006.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.52)
2025-10-17 23:35:55 | iot_test_files/normal/device_006.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.52)
2025-10-17 23:35:55 | iot_test_files/normal/device_006.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.52)
2025-10-17 23:35:55 | iot_test_files/normal/device_006.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.52)
2025-10-17 23:35:55 | iot_test_files/normal/device_007.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.52)
2025-10-17 23:35:55 | iot_test_files/normal/device_007.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.52)
2025-10-17 23:35:55 | iot_test_files/normal/device_008.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.54)
2025-10-17 23:35:55 | iot_test_files/normal/device_008.txt.encrypted | Confidence: 0.0% | Reason: High entropy (6.54)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_14.txt | Confidence: 0.0% | Reason: Rapid file access (16 files)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_14.txt | Confidence: 0.0% | Reason: Rapid file access (16 files)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_14.txt | Confidence: 0.0% | Reason: Rapid file access (17 files)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_14.txt | Confidence: 0.0% | Reason: Rapid file access (17 files)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_15.txt | Confidence: 0.0% | Reason: Rapid file access (18 files)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_15.txt | Confidence: 0.0% | Reason: Rapid file access (18 files)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_16.txt | Confidence: 0.0% | Reason: Rapid file access (19 files)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_16.txt | Confidence: 0.0% | Reason: Rapid file access (19 files)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_17.txt | Confidence: 0.0% | Reason: Rapid file access (20 files)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_17.txt | Confidence: 0.0% | Reason: Rapid file access (20 files)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_18.txt | Confidence: 0.0% | Reason: Rapid file access (21 files)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_18.txt | Confidence: 0.0% | Reason: Rapid file access (21 files)
2025-10-17 23:37:13,697 - ALERT - I/O error accessing iot_test_files/normal/normal_file_9.txt: [Errno 2] No such file or directory: 'iot_test_files/normal/normal_file_9.txt'. Skipping analysis.
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_19.txt | Confidence: 0.0% | Reason: Rapid file access (22 files)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_19.txt | Confidence: 0.0% | Reason: Rapid file access (22 files)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_14.txt | Confidence: 0.0% | Reason: Rapid file access (16 files)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_14.txt | Confidence: 0.0% | Reason: Rapid file access (16 files)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_15.txt | Confidence: 0.0% | Reason: Rapid file access (17 files)
2025-10-17 23:37:13 | iot_test_files/normal/normal_file_15.txt | Confidence: 0.0% | Reason: Rapid file access (17 files)
